id_cliente,nombre,apellido,edad,ciudad,segmento,email
CLI-000052,Jovita,Tejero,55,Piura,Nuevo,cliente52@retail.pe
CLI-000053,Noa,Quesada,23,Piura,Regular,cliente53@retail.pe
CLI-000054,Toribio,Francisco,33,Lima,Regular,cliente54@retail.pe
CLI-000055,Macario,Leiva,66,Piura,Nuevo,cliente55@retail.pe
CLI-000056,Agapito,Aparicio,60,Chiclayo,Regular,cliente56@retail.pe
CLI-000057,Eutimio,Sedano,18,Cusco,Regular,cliente57@retail.pe
CLI-000058,Nieves,Yáñez,54,Trujillo,Regular,cliente58@retail.pe
CLI-000059,Áurea,Tovar,26,Piura,Regular,cliente59@retail.pe
CLI-000060,Plácido,Folch,55,Arequipa,Nuevo,cliente60@retail.pe
CLI-000061,Juan Bautista,Torralba,62,Piura,Regular,cliente61@retail.pe
CLI-000062,Adelaida,Vidal,44,Chiclayo,Premium,cliente62@retail.pe
CLI-000063,María Fernanda,Valencia,26,Piura,Regular,cliente63@retail.pe
CLI-000064,Nuria,Rovira,44,Trujillo,Nuevo,cliente64@retail.pe
CLI-000065,Celestina,Aragonés,51,Arequipa,Regular,cliente65@retail.pe
CLI-000066,Paz,Manrique,24,Trujillo,Nuevo,cliente66@retail.pe
CLI-000067,Maximiliano,Seco,21,Cusco,Regular,cliente67@retail.pe
CLI-000068,Yésica,Cabello,67,Lima,Premium,cliente68@retail.pe
CLI-000069,Urbano,Villalba,48,Cusco,Regular,cliente69@retail.pe
CLI-000070,Juan Antonio,Santamaría,46,Cusco,Nuevo,cliente70@retail.pe
CLI-000071,Ágata,España,49,Trujillo,Regular,cliente71@retail.pe
CLI-000072,Teodoro,Tello,69,Arequipa,Premium,cliente72@retail.pe
CLI-000073,Bernardo,Larrea,51,Arequipa,Regular,cliente73@retail.pe
CLI-000074,Vanesa,Valentín,39,Trujillo,Regular,cliente74@retail.pe
CLI-000075,Raimundo,Bárcena,61,Chiclayo,Premium,cliente75@retail.pe
CLI-000076,Guiomar,Reina,43,Lima,Premium,cliente76@retail.pe
CLI-000077,Esteban,Sancho,29,Lima,Regular,cliente77@retail.pe
CLI-000078,Yésica,Alcalá,21,Trujillo,Nuevo,cliente78@retail.pe
CLI-000079,Cirino,Abad,59,Arequipa,Regular,cliente79@retail.pe
CLI-000080,Vito,Blanco,61,Lima,Premium,cliente80@retail.pe
CLI-000081,Emilia,Flor,51,Arequipa,Regular,cliente81@retail.pe
CLI-000082,Jose Miguel,Carrillo,51,Arequipa,Premium,cliente82@retail.pe
CLI-000083,Estela,Arribas,29,Trujillo,Regular,cliente83@retail.pe
CLI-000084,Maricruz,Ledesma,52,Trujillo,Nuevo,cliente84@retail.pe
CLI-000085,Guiomar,Palau,42,Cusco,Premium,cliente85@retail.pe
CLI-000086,Fabián,Adadia,29,Cusco,Regular,cliente86@retail.pe
CLI-000087,Matías,Téllez,67,Trujillo,Regular,cliente87@retail.pe
CLI-000088,Jenny,Cepeda,29,Cusco,Regular,cliente88@retail.pe
CLI-000089,Caridad,Gisbert,46,Lima,Regular,cliente89@retail.pe
CLI-000090,Ainara,Castro,51,Cusco,Nuevo,cliente90@retail.pe
CLI-000091,Elba,Vargas,31,Arequipa,Premium,cliente91@retail.pe
CLI-000092,Luis Ángel,Blasco,23,Trujillo,Regular,cliente92@retail.pe
CLI-000093,Silvestre,Cuesta,44,Piura,Regular,cliente93@retail.pe
CLI-000094,Elpidio,Maza,60,Arequipa,Nuevo,cliente94@retail.pe
CLI-000095,Anunciación,Requena,40,Arequipa,Regular,cliente95@retail.pe
CLI-000096,Rosario,Comas,61,Piura,Regular,cliente96@retail.pe
CLI-000097,Aurora,Ferrándiz,31,Lima,Regular,cliente97@retail.pe
CLI-000098,Renato,Alcalá,35,Piura,Regular,cliente98@retail.pe
CLI-000099,Curro,Porras,64,Arequipa,Regular,cliente99@retail.pe
CLI-000100,Susanita,Beltrán,54,Cusco,Regular,cliente100@retail.pe
CLI-000101,Aurelio,Oliver,26,Lima,Regular,cliente101@retail.pe
CLI-000102,Flavia,Osuna,24,Trujillo,Premium,cliente102@retail.pe
CLI-000103,María Luisa,Amigó,61,Lima,Regular,cliente103@retail.pe
CLI-000104,Amancio,Vicens,64,Arequipa,Regular,cliente104@retail.pe
CLI-000105,Alba,Mosquera,24,Piura,Regular,cliente105@retail.pe
CLI-000106,Isabela,Mateos,55,Lima,Regular,cliente106@retail.pe
CLI-000107,Vinicio,Moreno,38,Arequipa,Regular,cliente107@retail.pe
CLI-000108,Xiomara,Carrión,22,Lima,Regular,cliente108@retail.pe
CLI-000109,Anastasia,Soler,67,Cusco,Regular,cliente109@retail.pe
CLI-000110,Concha,Donaire,18,Lima,Premium,cliente110@retail.pe
CLI-000111,Fabio,Vizcaíno,19,Cusco,Premium,cliente111@retail.pe
CLI-000112,Hilario,Roura,61,Piura,Regular,cliente112@retail.pe
CLI-000113,Estrella,Navarrete,40,Cusco,Regular,cliente113@retail.pe
CLI-000114,Álvaro,Guijarro,56,Chiclayo,Regular,cliente114@retail.pe
CLI-000115,Irene,Baños,57,Lima,Nuevo,cliente115@retail.pe
CLI-000116,Carla,Pujol,38,Piura,Regular,cliente116@retail.pe
CLI-000117,Anastasio,Ferrán,47,Trujillo,Nuevo,cliente117@retail.pe
CLI-000118,Flor,Durán,25,Chiclayo,Regular,cliente118@retail.pe
CLI-000119,Artemio,Asensio,50,Chiclayo,Nuevo,cliente119@retail.pe
CLI-000120,Vito,Fabregat,34,Trujillo,Regular,cliente120@retail.pe
CLI-000121,Alondra,Almagro,70,Cusco,Premium,cliente121@retail.pe
CLI-000122,Efraín,Gil,63,Trujillo,Nuevo,cliente122@retail.pe
CLI-000123,Mireia,Villanueva,36,Chiclayo,Regular,cliente123@retail.pe
CLI-000124,Teresa,Cervera,64,Lima,Regular,cliente124@retail.pe
CLI-000125,Felipe,Estevez,44,Cusco,Regular,cliente125@retail.pe
CLI-000126,Rosario,Llamas,19,Piura,Nuevo,cliente126@retail.pe
CLI-000127,Teodoro,Ribas,30,Piura,Premium,cliente127@retail.pe
CLI-000128,Rufina,Bermúdez,25,Arequipa,Regular,cliente128@retail.pe
CLI-000129,Rodolfo,Mayol,25,Lima,Premium,cliente129@retail.pe
CLI-000130,Glauco,Núñez,40,Piura,Regular,cliente130@retail.pe
CLI-000131,Félix,Lago,59,Cusco,Premium,cliente131@retail.pe
CLI-000132,Abril,Valenciano,55,Arequipa,Regular,cliente132@retail.pe
CLI-000133,Melisa,Ricart,42,Trujillo,Regular,cliente133@retail.pe
CLI-000134,Lucio,Solsona,44,Chiclayo,Regular,cliente134@retail.pe
CLI-000135,Galo,Moreno,26,Arequipa,Regular,cliente135@retail.pe
CLI-000136,Aurelia,Toledo,60,Chiclayo,Nuevo,cliente136@retail.pe
CLI-000137,Victor,Carretero,61,Piura,Regular,cliente137@retail.pe
CLI-000138,Belen,Zamorano,34,Arequipa,Regular,cliente138@retail.pe
CLI-000139,Natividad,Llanos,19,Cusco,Regular,cliente139@retail.pe
CLI-000140,Olalla,Busquets,44,Cusco,Nuevo,cliente140@retail.pe
CLI-000141,Regina,Gargallo,26,Chiclayo,Regular,cliente141@retail.pe
CLI-000142,Jerónimo,Adadia,29,Piura,Premium,cliente142@retail.pe
CLI-000143,Ciro,Santos,70,Piura,Nuevo,cliente143@retail.pe
CLI-000144,Flavia,Murillo,39,Chiclayo,Regular,cliente144@retail.pe
CLI-000145,Saturnino,Esparza,65,Cusco,Premium,cliente145@retail.pe
CLI-000146,Amando,Ortiz,18,Chiclayo,Nuevo,cliente146@retail.pe
CLI-000147,Raquel,Crespo,48,Lima,Nuevo,cliente147@retail.pe
CLI-000148,Pastor,Gascón,61,Piura,Nuevo,cliente148@retail.pe
CLI-000149,Damián,Lozano,65,Trujillo,Regular,cliente149@retail.pe
CLI-000150,Cayetana,Garmendia,41,Arequipa,Regular,cliente150@retail.pe
CLI-000151,Clotilde,Mariño,35,Cusco,Nuevo,cliente151@retail.pe
CLI-000152,Chus,Ledesma,41,Cusco,Regular,cliente152@retail.pe
CLI-000153,Herminia,Cazorla,47,Piura,Nuevo,cliente153@retail.pe
CLI-000154,Cosme,Laguna,68,Chiclayo,Regular,cliente154@retail.pe
CLI-000155,Clemente,Rubio,30,Arequipa,Regular,cliente155@retail.pe
CLI-000156,Francisco Javier,Camino,27,Trujillo,Nuevo,cliente156@retail.pe
CLI-000157,Isaura,Barrena,40,Piura,Regular,cliente157@retail.pe
CLI-000158,Martina,Palacio,68,Lima,Regular,cliente158@retail.pe
CLI-000159,Lorenza,Esteve,23,Cusco,Regular,cliente159@retail.pe
CLI-000160,Flavia,Camino,64,Cusco,Premium,cliente160@retail.pe
CLI-000161,Antonia,Mir,65,Lima,Nuevo,cliente161@retail.pe
CLI-000162,Leonel,Bartolomé,19,Piura,Regular,cliente162@retail.pe
CLI-000163,Lupe,Miranda,62,Piura,Regular,cliente163@retail.pe
CLI-000164,Felix,Julián,20,Trujillo,Regular,cliente164@retail.pe
CLI-000165,José María,Barros,51,Chiclayo,Regular,cliente165@retail.pe
CLI-000166,Alberto,Requena,50,Lima,Premium,cliente166@retail.pe
CLI-000167,Roxana,Jimenez,64,Trujillo,Regular,cliente167@retail.pe
CLI-000168,Severino,Alcántara,34,Cusco,Premium,cliente168@retail.pe
CLI-000169,Baudelio,Bárcena,55,Chiclayo,Regular,cliente169@retail.pe
CLI-000170,Joel,Alvarado,28,Cusco,Regular,cliente170@retail.pe
CLI-000171,Martín,Casado,36,Cusco,Premium,cliente171@retail.pe
CLI-000172,Ciríaco,Ordóñez,42,Arequipa,Nuevo,cliente172@retail.pe
CLI-000173,Maxi,Sarmiento,58,Lima,Nuevo,cliente173@retail.pe
CLI-000174,Elvira,Arellano,59,Trujillo,Nuevo,cliente174@retail.pe
CLI-000175,Ámbar,Quintero,40,Piura,Premium,cliente175@retail.pe
CLI-000176,Maximiano,Garriga,51,Lima,Premium,cliente176@retail.pe
CLI-000177,Dorotea,Sevillano,52,Arequipa,Premium,cliente177@retail.pe
CLI-000178,Teodosio,Carreras,25,Piura,Regular,cliente178@retail.pe
CLI-000179,Itziar,Perelló,63,Chiclayo,Regular,cliente179@retail.pe
CLI-000180,Rosalinda,Vallejo,41,Lima,Regular,cliente180@retail.pe
CLI-000181,Isa,Infante,31,Piura,Premium,cliente181@retail.pe
CLI-000182,Roque,Manzanares,57,Arequipa,Premium,cliente182@retail.pe
CLI-000183,Olga,Palacio,38,Trujillo,Premium,cliente183@retail.pe
CLI-000184,Bautista,Rueda,64,Lima,Regular,cliente184@retail.pe
CLI-000185,Selena,Alvarez,57,Cusco,Regular,cliente185@retail.pe
CLI-000186,Lope,Murillo,40,Trujillo,Nuevo,cliente186@retail.pe
CLI-000187,Luis Miguel,Carvajal,25,Piura,Regular,cliente187@retail.pe
CLI-000188,Manuel,Riera,40,Chiclayo,Nuevo,cliente188@retail.pe
CLI-000189,Melchor,Almagro,55,Cusco,Premium,cliente189@retail.pe
CLI-000190,Candela,Noriega,67,Lima,Nuevo,cliente190@retail.pe
CLI-000191,Hector,Barba,67,Cusco,Regular,cliente191@retail.pe
CLI-000192,Lorena,Capdevila,60,Arequipa,Premium,cliente192@retail.pe
CLI-000193,Fermín,Casado,45,Piura,Regular,cliente193@retail.pe
CLI-000194,Diego,Arcos,38,Chiclayo,Regular,cliente194@retail.pe
CLI-000195,Edgardo,Yáñez,49,Trujillo,Regular,cliente195@retail.pe
CLI-000196,Paulino,Matas,30,Trujillo,Regular,cliente196@retail.pe
CLI-000197,Ambrosio,Rodriguez,62,Cusco,Regular,cliente197@retail.pe
CLI-000198,Cristina,Cases,40,Trujillo,Nuevo,cliente198@retail.pe
CLI-000199,Pelayo,Ribes,55,Trujillo,Regular,cliente199@retail.pe
CLI-000200,Rodrigo,Pi,46,Chiclayo,Regular,cliente200@retail.pe
CLI-000201,Jose,Robledo,65,Arequipa,Regular,cliente201@retail.pe
CLI-000202,Gloria,Gimenez,39,Lima,Regular,cliente202@retail.pe
CLI-000203,Matilde,Casares,46,Cusco,Premium,cliente203@retail.pe
CLI-000204,Gervasio,Andrade,58,Cusco,Regular,cliente204@retail.pe
CLI-000205,Gisela,Puente,27,Piura,Regular,cliente205@retail.pe
CLI-000206,Tamara,Jara,35,Cusco,Regular,cliente206@retail.pe
CLI-000207,Miriam,Coloma,58,Trujillo,Regular,cliente207@retail.pe
CLI-000208,Javier,Alvarado,53,Chiclayo,Regular,cliente208@retail.pe
CLI-000209,Alcides,Lloret,44,Cusco,Premium,cliente209@retail.pe
CLI-000210,Camila,Tejero,67,Trujillo,Nuevo,cliente210@retail.pe
CLI-000211,Silvestre,Laguna,58,Chiclayo,Regular,cliente211@retail.pe
CLI-000212,Maxi,Chacón,51,Arequipa,Regular,cliente212@retail.pe
CLI-000213,Eugenia,Borrás,59,Cusco,Premium,cliente213@retail.pe
CLI-000214,Primitiva,Escobar,43,Chiclayo,Premium,cliente214@retail.pe
CLI-000215,Carolina,Arellano,35,Piura,Regular,cliente215@retail.pe
CLI-000216,Florentina,Vilaplana,26,Cusco,Regular,cliente216@retail.pe
CLI-000217,Oriana,Lara,57,Trujillo,Nuevo,cliente217@retail.pe
CLI-000218,Noé,Viña,69,Trujillo,Nuevo,cliente218@retail.pe
CLI-000219,Marisela,Moll,48,Cusco,Premium,cliente219@retail.pe
CLI-000220,Basilio,Alberdi,66,Arequipa,Regular,cliente220@retail.pe
CLI-000221,Eulalia,Herrero,60,Cusco,Regular,cliente221@retail.pe
CLI-000222,Adoración,Barragán,67,Arequipa,Regular,cliente222@retail.pe
CLI-000223,Iván,Verdugo,50,Cusco,Regular,cliente223@retail.pe
CLI-000224,Rosalva,Contreras,41,Lima,Regular,cliente224@retail.pe
CLI-000225,Áurea,Pujol,30,Piura,Regular,cliente225@retail.pe
CLI-000226,Laura,Palomino,24,Arequipa,Regular,cliente226@retail.pe
CLI-000227,Morena,Guerrero,32,Trujillo,Regular,cliente227@retail.pe
CLI-000228,Chita,Llorens,61,Arequipa,Regular,cliente228@retail.pe
CLI-000229,Olegario,Font,23,Piura,Regular,cliente229@retail.pe
CLI-000230,Reinaldo,Palomar,51,Chiclayo,Regular,cliente230@retail.pe
CLI-000231,Ángel,Seco,26,Lima,Premium,cliente231@retail.pe
CLI-000232,Carlota,Sáez,44,Lima,Premium,cliente232@retail.pe
CLI-000233,Teófila,Miguel,64,Piura,Nuevo,cliente233@retail.pe
CLI-000234,Godofredo,Cuadrado,48,Chiclayo,Regular,cliente234@retail.pe
CLI-000235,Eusebia,Reguera,39,Cusco,Regular,cliente235@retail.pe
CLI-000236,Fabio,Tormo,48,Cusco,Regular,cliente236@retail.pe
CLI-000237,Tere,Adadia,38,Cusco,Premium,cliente237@retail.pe
CLI-000238,Paulino,Zabala,49,Arequipa,Premium,cliente238@retail.pe
CLI-000239,Julia,Real,69,Cusco,Regular,cliente239@retail.pe
CLI-000240,Natalia,Arcos,66,Trujillo,Premium,cliente240@retail.pe
CLI-000241,Feliciana,Duque,35,Piura,Nuevo,cliente241@retail.pe
CLI-000242,Cesar,Martínez,43,Cusco,Regular,cliente242@retail.pe
CLI-000243,Ramón,Landa,21,Trujillo,Nuevo,cliente243@retail.pe
CLI-000244,Emiliano,Cabrero,64,Chiclayo,Regular,cliente244@retail.pe
CLI-000245,Vera,Alfaro,50,Chiclayo,Regular,cliente245@retail.pe
CLI-000246,Bibiana,Gaya,37,Trujillo,Regular,cliente246@retail.pe
CLI-000247,Remedios,Melero,50,Piura,Regular,cliente247@retail.pe
CLI-000248,Constanza,Arribas,49,Cusco,Regular,cliente248@retail.pe
CLI-000249,Rubén,Pintor,41,Arequipa,Premium,cliente249@retail.pe
CLI-000250,Bárbara,Villalonga,53,Arequipa,Regular,cliente250@retail.pe
CLI-000251,Octavia,Cruz,51,Piura,Nuevo,cliente251@retail.pe
CLI-000252,Apolonia,Calvo,58,Lima,Nuevo,cliente252@retail.pe
CLI-000253,Che,Cifuentes,31,Lima,Regular,cliente253@retail.pe
CLI-000254,Luz,Porras,31,Trujillo,Regular,cliente254@retail.pe
CLI-000255,Nazario,Jurado,51,Arequipa,Regular,cliente255@retail.pe
CLI-000256,Martín,Arnaiz,68,Cusco,Regular,cliente256@retail.pe
CLI-000257,Malena,Falcó,63,Trujillo,Premium,cliente257@retail.pe
CLI-000258,Fermín,Marco,61,Cusco,Regular,cliente258@retail.pe
CLI-000259,Manolo,Machado,59,Trujillo,Regular,cliente259@retail.pe
CLI-000260,Pepe,Cañete,64,Piura,Premium,cliente260@retail.pe
CLI-000261,Román,Fabregat,56,Piura,Regular,cliente261@retail.pe
CLI-000262,Margarita,Agustí,27,Chiclayo,Premium,cliente262@retail.pe
CLI-000263,Rebeca,Tenorio,69,Chiclayo,Regular,cliente263@retail.pe
CLI-000264,Telmo,Pagès,69,Chiclayo,Nuevo,cliente264@retail.pe
CLI-000265,Octavia,Donaire,35,Cusco,Nuevo,cliente265@retail.pe
CLI-000266,Lorenza,Villalonga,29,Arequipa,Regular,cliente266@retail.pe
CLI-000267,Amor,Escobar,52,Chiclayo,Regular,cliente267@retail.pe
CLI-000268,Maxi,Coca,47,Arequipa,Premium,cliente268@retail.pe
CLI-000269,Fernando,Andrade,21,Arequipa,Regular,cliente269@retail.pe
CLI-000270,Susana,Carnero,44,Chiclayo,Regular,cliente270@retail.pe
CLI-000271,Aránzazu,Abril,52,Lima,Regular,cliente271@retail.pe
CLI-000272,Purificación,Perera,50,Cusco,Nuevo,cliente272@retail.pe
CLI-000273,Bernardo,Pedro,23,Trujillo,Regular,cliente273@retail.pe
CLI-000274,Marciano,Garzón,44,Arequipa,Nuevo,cliente274@retail.pe
CLI-000275,Bernardita,Correa,27,Chiclayo,Regular,cliente275@retail.pe
CLI-000276,Elena,Hurtado,48,Lima,Premium,cliente276@retail.pe
CLI-000277,Edmundo,Camino,40,Piura,Nuevo,cliente277@retail.pe
CLI-000278,Nacho,Tormo,62,Cusco,Regular,cliente278@retail.pe
CLI-000279,Custodio,Beltran,19,Arequipa,Regular,cliente279@retail.pe
CLI-000280,Rico,Jáuregui,70,Lima,Regular,cliente280@retail.pe
CLI-000281,Encarnita,Mata,45,Arequipa,Nuevo,cliente281@retail.pe
CLI-000282,Flora,Carpio,28,Arequipa,Regular,cliente282@retail.pe
CLI-000283,Pablo,Sánchez,49,Arequipa,Regular,cliente283@retail.pe
CLI-000284,Virginia,Valenzuela,52,Trujillo,Regular,cliente284@retail.pe
CLI-000285,Dionisio,Villena,47,Cusco,Regular,cliente285@retail.pe
CLI-000286,Jose Manuel,Palmer,37,Chiclayo,Regular,cliente286@retail.pe
CLI-000287,Isabela,Sarmiento,53,Piura,Regular,cliente287@retail.pe
CLI-000288,Yéssica,Ochoa,31,Chiclayo,Premium,cliente288@retail.pe
CLI-000289,Celestino,Bayón,66,Lima,Regular,cliente289@retail.pe
CLI-000290,Melania,Bonilla,61,Piura,Regular,cliente290@retail.pe
CLI-000291,Nuria,Uría,25,Arequipa,Regular,cliente291@retail.pe
CLI-000292,Mayte,Miguel,45,Arequipa,Nuevo,cliente292@retail.pe
CLI-000293,Juan Manuel,Gonzalez,45,Lima,Regular,cliente293@retail.pe
CLI-000294,Florentino,Morcillo,27,Chiclayo,Nuevo,cliente294@retail.pe
CLI-000295,Toni,Velasco,58,Cusco,Regular,cliente295@retail.pe
CLI-000296,Chita,Mármol,41,Trujillo,Premium,cliente296@retail.pe
CLI-000297,Mohamed,Uriarte,51,Trujillo,Nuevo,cliente297@retail.pe
CLI-000298,Samuel,Mir,40,Trujillo,Nuevo,cliente298@retail.pe
CLI-000299,Gabriel,Ferrándiz,24,Arequipa,Regular,cliente299@retail.pe
CLI-000300,Noelia,Sierra,40,Trujillo,Regular,cliente300@retail.pe
CLI-000301,Isidro,Olivé,58,Piura,Premium,cliente301@retail.pe
CLI-000302,Martina,Ordóñez,62,Chiclayo,Regular,cliente302@retail.pe
CLI-000303,Sebastián,Pizarro,66,Cusco,Nuevo,cliente303@retail.pe
CLI-000304,Ibán,Cortes,23,Trujillo,Regular,cliente304@retail.pe
CLI-000305,Vasco,Castell,52,Piura,Nuevo,cliente305@retail.pe
CLI-000306,Tomás,Leal,24,Cusco,Regular,cliente306@retail.pe
CLI-000307,Nando,Carranza,23,Piura,Premium,cliente307@retail.pe
CLI-000308,Miguel,Larrea,51,Trujillo,Regular,cliente308@retail.pe
CLI-000309,Prudencia,Sales,42,Chiclayo,Nuevo,cliente309@retail.pe
CLI-000310,Juan José,Codina,47,Piura,Regular,cliente310@retail.pe
CLI-000311,Caridad,Ledesma,19,Arequipa,Nuevo,cliente311@retail.pe
CLI-000312,Joaquín,Mármol,26,Lima,Premium,cliente312@retail.pe
CLI-000313,Eric,Casal,23,Arequipa,Regular,cliente313@retail.pe
CLI-000314,Julio,Marin,34,Lima,Nuevo,cliente314@retail.pe
CLI-000315,Consuelo,Sedano,65,Lima,Regular,cliente315@retail.pe
CLI-000316,Evita,Quero,51,Lima,Regular,cliente316@retail.pe
CLI-000317,Salomón,Almeida,39,Chiclayo,Premium,cliente317@retail.pe
CLI-000318,Carmela,Mur,48,Arequipa,Regular,cliente318@retail.pe
CLI-000319,Ileana,Recio,47,Chiclayo,Regular,cliente319@retail.pe
CLI-000320,Nicodemo,Bustamante,33,Piura,Nuevo,cliente320@retail.pe
CLI-000321,Iris,Uría,38,Trujillo,Premium,cliente321@retail.pe
CLI-000322,Violeta,Villanueva,33,Piura,Premium,cliente322@retail.pe
CLI-000323,Hugo,Rodriguez,30,Lima,Regular,cliente323@retail.pe
CLI-000324,Pastor,Murillo,55,Trujillo,Regular,cliente324@retail.pe
CLI-000325,Benito,Pulido,19,Trujillo,Nuevo,cliente325@retail.pe
CLI-000326,Lourdes,Duran,42,Chiclayo,Premium,cliente326@retail.pe
CLI-000327,Agustín,Lasa,47,Arequipa,Regular,cliente327@retail.pe
CLI-000328,Celia,Iniesta,51,Cusco,Regular,cliente328@retail.pe
CLI-000329,Eladio,Múñiz,45,Chiclayo,Regular,cliente329@retail.pe
CLI-000330,Cristina,Ribera,40,Piura,Nuevo,cliente330@retail.pe
CLI-000331,Pepita,Tamarit,28,Piura,Premium,cliente331@retail.pe
CLI-000332,Renata,Tomas,41,Arequipa,Regular,cliente332@retail.pe
CLI-000333,Nilo,Albero,53,Arequipa,Regular,cliente333@retail.pe
CLI-000334,Anselmo,Gimeno,69,Lima,Nuevo,cliente334@retail.pe
CLI-000335,Fanny,Carrillo,69,Trujillo,Regular,cliente335@retail.pe
CLI-000336,Gertrudis,Leiva,18,Arequipa,Premium,cliente336@retail.pe
CLI-000337,Nacho,Alemán,34,Arequipa,Regular,cliente337@retail.pe
CLI-000338,Melisa,Gallart,41,Lima,Regular,cliente338@retail.pe
CLI-000339,Morena,Sebastián,20,Arequipa,Regular,cliente339@retail.pe
CLI-000340,Aránzazu,Lluch,58,Chiclayo,Regular,cliente340@retail.pe
CLI-000341,Esther,Peiró,46,Piura,Regular,cliente341@retail.pe
CLI-000342,Cayetano,Expósito,40,Chiclayo,Regular,cliente342@retail.pe
CLI-000343,Bárbara,Alberdi,50,Chiclayo,Nuevo,cliente343@retail.pe
CLI-000344,Claudio,Costa,30,Chiclayo,Regular,cliente344@retail.pe
CLI-000345,Narciso,Gimenez,48,Lima,Regular,cliente345@retail.pe
CLI-000346,Abigaíl,Fábregas,28,Chiclayo,Premium,cliente346@retail.pe
CLI-000347,Eloísa,Donaire,31,Lima,Regular,cliente347@retail.pe
CLI-000348,Julieta,Mendoza,59,Lima,Regular,cliente348@retail.pe
CLI-000349,Cesar,Rincón,34,Lima,Nuevo,cliente349@retail.pe
